datetime,open,high,low,close,volume
2017-08-17,4261.480000,4485.390000,4200.740000,4285.080000,795.150377
2017-08-18,4285.080000,4371.520000,3938.770000,4108.370000,1199.888264
2017-08-19,4108.370000,4184.690000,3850.000000,4139.980000,381.309763
2017-08-20,4120.980000,4211.080000,4032.620000,4086.290000,467.083022
2017-08-21,4069.130000,4119.620000,3911.790000,4016.000000,691.743060
2017-08-22,4016.000000,4104.820000,3400.000000,4040.000000,966.684858
2017-08-23,4040.000000,4265.800000,4013.890000,4114.010000,1001.136565
2017-08-24,4147.000000,4371.680000,4085.010000,4316.010000,787.418753
2017-08-25,4316.010000,4453.910000,4247.480000,4280.680000,573.612740
2017-08-26,4280.710000,4367.000000,4212.410000,4337.440000,228.108068
2017-08-27,4332.510000,4400.000000,4285.540000,4310.010000,350.692585
2017-08-28,4310.010000,4399.820000,4124.540000,4386.690000,603.841616
2017-08-29,4353.650000,4625.850000,4313.550000,4587.480000,603.545028
2017-08-30,4564.520000,4647.510000,4416.010000,4555.140000,808.468771
2017-08-31,4555.140000,4745.420000,4555.140000,4724.890000,556.956802
2017-09-01,4689.890000,4885.550000,4654.880000,4834.910000,560.666366
2017-09-02,4796.160000,4939.190000,4286.870000,4472.140000,929.148595
2017-09-03,4508.500000,4714.760000,4298.330000,4509.080000,691.216198
2017-09-04,4505.000000,4527.490000,3972.510000,4100.110000,1394.644614
2017-09-05,4106.970000,4484.990000,3603.000000,4366.470000,1228.938157
2017-09-06,4366.490000,4662.870000,4335.260000,4619.770000,807.363726
2017-09-07,4619.770000,4788.590000,4438.190000,4691.610000,500.429975
2017-09-08,4691.660000,4735.390000,4028.930000,4282.800000,1132.255046
2017-09-09,4282.800000,4426.620000,4150.060000,4258.810000,658.782952
2017-09-10,4258.810000,4283.000000,3801.000000,4130.370000,660.373275
2017-09-11,4153.620000,4334.430000,4098.910000,4208.470000,699.989065
2017-09-12,4208.600000,4394.590000,4040.800000,4163.720000,879.630319
2017-09-13,4159.720000,4165.380000,3760.000000,3944.690000,913.462545
2017-09-14,3944.000000,3993.000000,3165.130000,3189.020000,1665.021543
2017-09-15,3188.010000,3856.000000,2817.000000,3700.000000,1968.866492
2017-09-16,3674.010000,3950.000000,3470.660000,3714.950000,1297.563953
2017-09-17,3685.230000,3748.210000,3499.020000,3699.990000,682.171210
2017-09-18,3690.000000,4123.200000,3690.000000,4035.010000,1030.006455
